Date,Site,Chamber,Air Temp,T1,T2,T_ave,WT depth (tube),Surface to tube height,Actual_WT,H1,H2,H3,H4,Height average,Extension,Havg_cm,Chamber V,Licor on,Licor off,H2 Time,CH4 processed,H2 processed,Merge,Notes,Data Merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2025,AC,10,,12.7,13.1,12.9,77.5,37,40.5,34.5,36,37,36.1,35.9,,,0.04071,11:26:00,11:37:00,11:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,1,,12.8,12.3,12.55,82,47,35,13.1,12.5,11.2,14,12.7,21.5,34.2,0.03879,13:08:00,13:19:00,11:01:00,,,,Chamber 3 repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,2,,12.6,12.5,12.55,82,59,23,16,17,16.5,17.2,16.675,21.5,38.175,0.04329,10:52:00,11:04:00,11:17:00,Y,,,First successful H2 run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,3,,/,/,NA,84,63,21,19.5,19.5,20,19,19.5,21.5,41,0.04650,/,/,/,,,,CH4 also taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,4,,13.6,14.1,13.85,89,60.8,28.2,15,17,17.5,14,15.875,21.5,37.375,0.04239,11:12:00,11:27:00,11:33:00,,,,Dipwells and chamber height remeasured  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,5,,13.4,13.5,13.45,87.5,52.7,34.8,19,15.5,14,16,16.125,21.5,37.625,0.04267,11:28:00,11:43:00,11:50:00,,,,Soil_h' in CH4 chamber_time files appear to be purposeless (nick),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,6,,13,13.1,13.05,74.4,51,23.4,16,16,15.8,13,15.2,21.5,36.7,0.04162,11:45:00,12:02:00,12:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,7,,12.8,12.8,12.8,85,61,24,18.5,16.1,15.5,15.5,16.4,21.5,37.9,0.04298,12:03:00,12:18:00,12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,8,,14,12.7,13.35,93.5,55.3,38.2,20.5,18.6,19,20,19.525,21.5,41.025,0.04653,12:19:00,12:31:00,12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,9,,15,13.3,14.15,83.5,64.5,19,19.5,18,19,19.8,19.075,21.5,40.575,0.04602,12:34:00,12:45:00,12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
